@relation area_under_roc_curve

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
15 , 0.988163 , 0.99109 , 0.991547 , 0.988974 , 0.952554 , 0.941768 , 0.980372 , 0.913592 , 0.985776 , 0.958896 , 0.972454 , 0.966162 , 0.5 , 0.978764 , 0.847044 , 0.957745 , 0.992711 , 0.979149 , 0.959032 , 0.966058 , 0.98877 , 0.987511 , 0.963095 , 0.965392 , 0.99383 , 0.99393 , 0.992095 , 0.984798 , 0.987638 , 0.987253 , 0.983851 , 0.835773 , 0.897253 , 0.97259 , 0.49639 , 0.991937 , 0.989817 , 0.925302 , 0.992616 , 0.966914 , 0.94257 , 0.992462 , 0.95303 , 0.99383 , 0.962986 , 0.993414 , 0.985581 , 0.49639 
16 , 0.997425 , 0.681158 , 0.993384 , 0.994291 , 0.914237 , 0.711602 , 0.785181 , 0.681158 , 0.918729 , 0.994946 , 0.978024 , 0.969806 , 0.5 , 0.993628 , 0.9443 , 0.98 , 0.996526 , 0.937025 , 0.913234 , 0.930762 , 0.984265 , 0.966419 , 0.966389 , 0.970833 , 0.996669 , 0.965491 , 0.996508 , 0.948618 , 0.681158 , 0.993626 , 0.969742 , 0.503333 , 0.6325 , 0.921921 , 0.850091 , 0.997981 , 0.996806 , 0.855556 , 0.88815 , 0.936258 , 0.891944 , 0.998735 , 0.922753 , 0.996673 , 0.991687 , 0.9934 , 0.944719 , 0.5 
18 , 0.956921 , 0.757995 , 0.960602 , 0.951424 , 0.934448 , 0.757936 , 0.759087 , 0.757995 , 0.949545 , 0.960409 , 0.949994 , 0.880439 , 0.5 , 0.947905 , 0.874652 , 0.813333 , 0.955851 , 0.951257 , 0.919372 , 0.942423 , 0.956401 , 0.951625 , 0.530278 , 0.603333 , 0.964835 , 0.962907 , 0.961997 , 0.939603 , 0.757995 , 0.951969 , 0.947448 , 0.622778 , 0.720833 , 0.923548 , 0.909259 , 0.954632 , 0.959561 , 0.807171 , 0.927832 , 0.947293 , 0.832222 , 0.965813 , 0.950073 , 0.965216 , 0.953996 , 0.953513 , 0.929594 , 0.5 
21 , 0.992297 , 0.870289 , 0.988187 , 0.973908 , 0.990577 , 0.497986 , 0.881795 , 0.706925 , 0.974786 , 0.979215 , 0.97365 , 0.984987 , 0.5 , 0.974071 , 0.883535 , 0.753769 , 0.996952 , 0.994301 , 0.974721 , 0.95655 , 0.996132 , 0.981032 , 0.896477 , 0.947964 , 0.992656 , 0.989977 , 0.990042 , 0.969491 , 0.872123 , 0.974071 , 0.987817 , 0.921342 , 0.5 , 0.990325 , 0.780848 , 0.995517 , 0.966711 , 0.924905 , 0.941922 , 0.975563 , 0.980509 , 0.999865 , 0.989631 , 0.990003 , 1 , 0.999399 , 0.955342 , 0.496994 
22 , 0.96215 , 0.668073 , 0.969299 , 0.952929 , 0.873599 , 0.722187 , 0.793243 , 0.668073 , 0.888431 , 0.971662 , 0.960986 , 0.910587 , 0.5 , 0.952119 , 0.851142 , 0.883056 , 0.977851 , 0.922845 , 0.88597 , 0.90627 , 0.904155 , 0.930942 , 0.853889 , 0.523333 , 0.981175 , 0.941048 , 0.972373 , 0.906649 , 0.668073 , 0.952103 , 0.90265 , 0.503333 , 0.611667 , 0.887672 , 0.855909 , 0.967762 , 0.975297 , 0.790556 , 0.899888 , 0.913203 , 0.833611 , 0.979324 , 0.90496 , 0.981175 , 0.969517 , 0.967942 , 0.921094 , 0.5 
23 , 0.702688 , 0.549536 , 0.718723 , 0.697243 , 0.67818 , 0.51969 , 0.69077 , 0.549536 , 0.702303 , 0.70349 , 0.663283 , 0.681076 , 0.5 , 0.681491 , 0.524441 , 0.567753 , 0.636988 , 0.718545 , 0.673677 , 0.644643 , 0.676499 , 0.732794 , 0.553481 , 0.646473 , 0.711003 , 0.697047 , 0.739716 , 0.684128 , 0.549536 , 0.696781 , 0.702621 , 0.55092 , 0.57398 , 0.65937 , 0.50019 , 0.685671 , 0.724865 , 0.60938 , 0.707004 , 0.689882 , 0.623225 , 0.720629 , 0.70214 , 0.696832 , 0.656637 , 0.642135 , 0.653927 , 0.497528 
24 , 1 , 1 , 1 , 0.99842 , 0.999434 , 0.882223 , 0.88124 , 0.881191 , 1 , 1 , 1 , 1 , 0.5 , 0.999458 , 0.999161 , 1 , 1 , 1 , 1 , 1 , 1 , 0.999954 , 1 , 1 , 1 , 1 , 1 , 0.992076 , 0.999939 , 0.998043 , 1 , 0.827931 , 0.984678 , 1 , 0.998111 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0.999195 , 1 , 1 , 1 , 0.999933 , 0.499503 
26 , 0.991055 , 0.828214 , 0.998812 , 0.981822 , 0.998611 , 0.828286 , 0.82813 , 0.82813 , 0.986206 , 0.995079 , 0.987171 , 0.997027 , 0.5 , 0.994411 , 0.788194 , 0.826436 , 0.999351 , 0.997355 , 0.994915 , 0.993929 , 0.997689 , 0.979696 , 0.93843 , 0.982309 , 0.997722 , 0.988219 , 0.988283 , 0.97415 , 0.828214 , 0.981788 , 0.997527 , 0.582593 , 0.786299 , 0.999128 , 0.978611 , 0.999738 , 0.981417 , 0.974299 , 0.965648 , 0.996135 , 0.968338 , 0.999998 , 0.999176 , 0.988209 , 1 , 1 , 0.903131 , 0.499602 
27 , 0.863051 , 0.859518 , 0.890403 , 0.840549 , 0.788761 , 0.801439 , 0.822024 , 0.76862 , 0.838711 , 0.790489 , 0.806969 , 0.842197 , 0.5 , 0.82784 , 0.511711 , 0.763945 , 0.857125 , 0.852355 , 0.790489 , 0.80174 , 0.800599 , 0.872655 , 0.736815 , 0.80819 , 0.895585 , 0.837284 , 0.851372 , 0.861974 , 0.864541 , 0.838394 , 0.86882 , 0.459178 , 0.813895 , 0.85039 , 0.487766 , 0.904919 , 0.889294 , 0.830359 , 0.882004 , 0.828759 , 0.814782 , 0.905458 , 0.820915 , 0.861039 , 0.821755 , 0.819092 , 0.814275 , 0.767511 
28 , 0.998515 , 0.678087 , 0.997519 , 0.990288 , 0.948602 , 0.704431 , 0.797034 , 0.678087 , 0.909612 , 0.998814 , 0.989467 , 0.990488 , 0.499822 , 0.964825 , 0.793768 , 0.992877 , 0.999107 , 0.983169 , 0.959458 , 0.963592 , 0.997533 , 0.975847 , 0.974494 , 0.850769 , 0.998177 , 0.97209 , 0.999169 , 0.950213 , 0.678087 , 0.990207 , 0.982454 , 0.513521 , 0.592059 , 0.965439 , 0.989196 , 0.999662 , 0.999373 , 0.925848 , 0.914647 , 0.970083 , 0.950067 , 0.999772 , 0.957474 , 0.998971 , 0.998336 , 0.99939 , 0.971582 , 0.498201 
