@relation kb_relative_information_score

@attribute task_id numeric
@attribute weka.A1DE numeric
@attribute weka.AdaBoostM1_DecisionStump numeric
@attribute weka.Bagging_REPTree numeric
@attribute weka.BayesNet_K2 numeric
@attribute weka.BFTree numeric
@attribute weka.ConjunctiveRule numeric
@attribute weka.Dagging_DecisionStump numeric
@attribute weka.DecisionStump numeric
@attribute weka.DecisionTable_BestFirst numeric
@attribute weka.END_ND_J48 numeric
@attribute weka.FT numeric
@attribute weka.FURIA numeric
@attribute weka.Grading_ZeroR numeric
@attribute weka.HoeffdingTree numeric
@attribute weka.HyperPipes numeric
@attribute weka.IB1 numeric
@attribute weka.IBk numeric
@attribute weka.J48 numeric
@attribute weka.J48graft numeric
@attribute weka.JRip numeric
@attribute weka.KStar numeric
@attribute weka.LADTree numeric
@attribute weka.LibLINEAR numeric
@attribute weka.LibSVM numeric
@attribute weka.LMT numeric
@attribute weka.Logistic numeric
@attribute weka.LogitBoost_DecisionStump numeric
@attribute weka.LWL_DecisionStump numeric
@attribute weka.MultiBoostAB_DecisionStump numeric
@attribute weka.NaiveBayes numeric
@attribute weka.NBTree numeric
@attribute weka.OLM numeric
@attribute weka.OneR numeric
@attribute weka.PART numeric
@attribute weka.RacedIncrementalLogitBoost_DecisionStump numeric
@attribute weka.RandomForest numeric
@attribute weka.RandomSubSpace_REPTree numeric
@attribute weka.RandomTree numeric
@attribute weka.RBFClassifier numeric
@attribute weka.REPTree numeric
@attribute weka.Ridor numeric
@attribute weka.RotationForest_PrincipalComponents_J48 numeric
@attribute weka.SimpleCart numeric
@attribute weka.SimpleLogistic numeric
@attribute weka.SMO_PolyKernel numeric
@attribute weka.SMO_RBFKernel numeric
@attribute weka.VFI numeric
@attribute weka.ZeroR numeric


@data
15 , 642.02911 , 626.938268 , 596.817593 , 649.941264 , 597.951476 , 531.610809 , 526.90465 , 510.353931 , 574.148757 , 593.656637 , 641.364001 , 620.407768 , 142.589842 , 634.179056 , -87.992513 , 636.39056 , 635.824917 , 605.463369 , 595.467398 , 605.137236 , 612.106923 , 608.208824 , 645.62048 , 634.08308 , 620.905881 , 626.267231 , 626.027617 , 529.75859 , 631.091745 , 652.362391 , 632.559634 , 509.479161 , 562.551201 , 599.949181 , -0.130364 , 612.929879 , 589.284494 , 587.644882 , 600.886154 , 597.625625 , 606.39332 , 623.297578 , 591.887556 , 620.905881 , 643.313 , 650.23544 , 90.431443 , -0.130364 
16 , 1921.331675 , 410.458108 , 1646.379259 , 1845.139305 , 1622.157646 , 428.510901 , 405.188539 , 410.458108 , 928.709499 , 1743.004891 , 1891.917771 , 1747.191894 , 117.636517 , 1870.972929 , 38.734349 , 1924.705461 , 1926.119365 , 1614.067267 , 1625.4653 , 1567.790037 , 1881.168335 , 1423.093215 , 1873.463344 , 1890.195463 , 1892.435809 , 1786.452433 , 1911.965042 , 688.202283 , 410.458108 , 1870.938159 , 1622.37044 , 130.185607 , 616.46284 , 1670.251458 , 893.251258 , 1730.128549 , 1543.033751 , 1456.206105 , 626.935722 , 1514.04884 , 1593.200336 , 1682.641888 , 1610.980723 , 1891.870451 , 593.991396 , 596.320672 , 238.552676 , 0 
18 , 1488.927953 , 572.144295 , 1510.99697 , 1457.247097 , 1478.448782 , 569.017389 , 571.917664 , 572.144295 , 1246.497419 , 1467.330526 , 1535.550421 , 1456.840785 , 117.636517 , 1382.769661 , 321.166191 , 1297.250966 , 1536.52826 , 1498.087896 , 1493.759846 , 1426.662059 , 1487.853212 , 1430.166798 , 231.624083 , 506.658303 , 1521.084526 , 1529.621886 , 1508.209637 , 740.813637 , 572.144295 , 1463.857741 , 1405.310808 , 579.861328 , 949.013722 , 1496.549201 , 945.46766 , 1459.113543 , 1411.713947 , 1265.775314 , 1028.104827 , 1472.395093 , 1368.362476 , 1539.725369 , 1460.101804 , 1517.817102 , 562.368565 , 562.698868 , 709.907321 , 0 
21 , 1127.033612 , -268.132326 , 1371.663224 , 1016.980454 , 1618.219252 , 1.965556 , 302.284191 , 167.697741 , -162.461059 , 1417.090883 , 1521.86426 , 1390.061346 , 394.762724 , 1002.008589 , -757.603846 , 826.796455 , 1092.509885 , 1485.357857 , 1413.003012 , 1195.336784 , 883.590359 , 1154.866548 , 1208.311168 , 1309.117193 , 1659.13746 , 1458.545348 , 1444.406251 , 660.115621 , 406.836721 , 1002.008589 , 1338.223076 , 1475.263217 , 394.762724 , 1560.660325 , 161.996374 , 1442.493165 , 403.797388 , 1216.414404 , 781.455994 , 1342.338407 , 1608.066816 , 1514.642877 , 1612.578309 , 1429.50736 , 1700.537505 , 43.061798 , 595.047808 , 0.108642 
22 , 1542.089052 , 374.291913 , 1465.449915 , 1471.832142 , 1398.628873 , 420.978031 , 369.093115 , 374.291913 , 742.991606 , 1552.484662 , 1732.519827 , 1479.18176 , 117.636517 , 1516.107242 , 68.200638 , 1559.736096 , 1706.408934 , 1466.152762 , 1478.051705 , 1388.645849 , 1494.792941 , 1246.219453 , 1449.93156 , 205.480146 , 1698.845067 , 1677.656081 , 1615.751676 , 546.370033 , 374.291913 , 1515.898836 , 1302.171152 , 130.185607 , 538.031028 , 1494.283828 , 877.317519 , 1472.368532 , 1427.951041 , 1211.498852 , 747.941685 , 1398.672622 , 1373.591263 , 1584.800876 , 1343.018682 , 1698.845067 , 577.013672 , 577.251982 , 368.736512 , 0 
23 , 333.720961 , 91.957036 , 349.029148 , 354.340094 , 335.634389 , 19.453091 , 114.655688 , 91.957036 , 279.713265 , 331.086821 , 405.154223 , 490.412625 , 217.819574 , 321.125085 , 23.696407 , 292.560891 , 315.59693 , 403.685019 , 378.781709 , 224.339306 , 305.098861 , 356.406528 , 283.066958 , 511.917062 , 335.815825 , 277.805647 , 371.779549 , 138.491924 , 91.957036 , 351.602876 , 364.820425 , 275.681074 , 342.856173 , 380.255099 , 5.505492 , 387.142031 , 228.987007 , 388.813739 , 235.571067 , 338.948818 , 446.203757 , 353.152084 , 318.859341 , 264.204133 , 353.645362 , 344.643825 , 57.243233 , 0.199664 
24 , 8119.760136 , 8118.263419 , 8118.93252 , 7512.195705 , 8112.693539 , 5264.669788 , 5289.90271 , 5288.511853 , 7920.374925 , 8123.996269 , 8123.424717 , 8123.996269 , 277.386239 , 7972.273128 , 411.373808 , 8123.996269 , 8123.830099 , 8123.996269 , 8123.996269 , 8123.996269 , 8123.220211 , 7816.948752 , 8123.996269 , 8123.996269 , 8116.600513 , 8123.996255 , 8123.9085 , 6750.394805 , 8072.484071 , 7442.777702 , 8122.425992 , 5262.668607 , 7883.548566 , 8123.996269 , 7560.265483 , 8122.991115 , 8056.411338 , 8123.996269 , 7659.686407 , 8123.996269 , 8123.996269 , 8123.230521 , 8110.211876 , 8105.887221 , 8123.996269 , 8123.996269 , 7104.423565 , -0.002651 
26 , 10599.15749 , 4083.833202 , 12220.09022 , 10162.0631 , 12841.68718 , 6929.463928 , 6929.189643 , 6929.189643 , 9038.390071 , 12313.79001 , 12315.0782 , 12432.66723 , 1279.37903 , 11565.54718 , -450.746652 , 8571.098172 , 10152.02168 , 12703.83783 , 12313.74005 , 12045.70282 , 8524.98843 , 10335.13524 , 10990.10158 , 12271.7173 , 12716.21653 , 11338.4924 , 11320.06834 , 7460.549433 , 6954.728656 , 10152.53694 , 12035.16005 , 750.533103 , 7526.884249 , 12785.48914 , 10372.18353 , 12029.94213 , 6712.584423 , 11832.5164 , 9732.001278 , 12168.9411 , 12113.12028 , 12438.91973 , 12853.27194 , 11214.01247 , 2976.903345 , 2976.903345 , 4101.57433 , 0.278959 
27 , 196.387058 , 190.82697 , 197.969474 , 192.879502 , 194.063695 , 174.880567 , 121.490027 , 151.632075 , 159.283534 , 189.993284 , 194.573361 , 232.308581 , 67.35949 , 171.668059 , -42.458154 , 186.64845 , 194.454089 , 198.959024 , 189.79068 , 197.058539 , 168.693851 , 192.595971 , 155.721683 , 224.202382 , 210.513127 , 180.00875 , 199.074748 , 163.126414 , 228.303343 , 189.240541 , 208.254557 , -16.584593 , 217.575217 , 186.031216 , -0.152512 , 175.128932 , 136.084272 , 166.514649 , 167.849629 , 190.437208 , 241.87482 , 196.138613 , 197.533341 , 167.448717 , 239.665766 , 246.29293 , 14.174434 , 185.736355 
28 , 5475.129982 , 1085.847268 , 5103.146166 , 5181.417432 , 4998.567077 , 1213.73973 , 1057.21122 , 1085.847268 , 2559.744489 , 5239.724879 , 5474.042888 , 5323.293392 , 335.103811 , 4844.152594 , 48.819432 , 5544.679439 , 5546.871766 , 5055.930798 , 5075.291888 , 5032.282101 , 5509.511482 , 4200.197143 , 5350.257314 , 4039.421756 , 5445.819159 , 5286.51788 , 5476.176131 , 2087.219149 , 1085.847268 , 5179.105909 , 4864.023286 , 467.756276 , 1303.504686 , 5185.152932 , 4833.918673 , 5249.396713 , 4989.861612 , 4835.778774 , 2530.72877 , 4923.414 , 5091.904172 , 5253.942899 , 4999.723567 , 5429.064761 , 1687.066819 , 5544.330026 , 409.969531 , 0.767567 
